name,team,battingStyle,playingRole,bowlingStyle,description,image_link
Glenn Phillips,New Zealand,Right hand Bat,Allrounder,Right arm Offbreak,"Glenn Phillips is a compact, muscular hitter, known for playing outrageous shots, like the reverse pull. Born in South Africa, Phillips moved to New Zealand with his family at the age of five and has come through the cricket set-up in Auckland. He is a multi-dimensional player, who bats, bowls fastish offspin, fields superbly inside the ring and in the outfield, and keeps part-time as well.","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321200/321223.png"
Hamid Shah(c),Denmark,Right hand Bat,,Right arm Offbreak,,
Guillermo Aburto ,Chile,Right hand Bat,,Right arm Medium fast,,
Ayo MeneEjegi,Serbia,Right hand Bat,,Right arm Medium,,
Lorcan Tucker ,Ireland,Right hand Bat,Wicketkeeper Batter,,"Wicketkeeper-batter Lorcan Tucker, who was among Ireland's first batch of contracted cricketers, made his international debut in 2016, before he played his first first-class game the following year.  His father and brothers also played the game; Tucker and his younger brother Fiachra both figured in the 2016 Ireland Under-19 World Cup squad.","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/339100/339164.png"
Muhamad Syahadat,Malaysia,Right hand Bat,,Right arm Offbreak,,
Taranjeet Singh,Romania,Right hand Bat,,Right arm Offbreak,,
Ali Zaheer,Kuwait,Left hand Bat,,Legbreak Googly,,
Vieira Tembo,Mozambique,Right hand Bat,,,,
Gudakesh Motie,West Indies,Left hand Bat,Bowler,Slow Left arm Orthodox,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/326100/326127.png"
Ramon Sealy(c),Cayman Islands,Right hand Bat,,Legbreak,,
Josef Pita,Samoa,Right hand Bat,,Right arm Medium,,
Meet Bhavsar,Kuwait,Left hand Bat,Top order Batter,,,
Azhar Andani,Portugal,Right hand Bat,,Right arm Medium fast,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/337000/337049.png"
Brydon Carse,England,Right hand Bat,Bowling Allrounder,Right arm Fast,"Brydon Carse, a strapping fast bowler with a quick arm action, came to England honours via an injury-interrupted apprenticeship at Durham. When England had to replace an entire squad due to Covid for the ODI series with Pakistan in 2021, Carse was among the new faces and he impressed with his deck-hitting style, taking a five-for in the third match. ","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/325900/325908.png"
Phanuwat Desungnoen,Thailand,Right hand Bat,,Right arm Offbreak,,
Khanitson Namchaikul,Thailand,Right hand Bat,,Legbreak,,
Marco Jansen,South Africa,Right hand Bat,Bowling Allrounder,Left arm Medium fast,"At 2.06 metres tall, Marco Jansen's height immediately marks him out as a fast bowler but he began his cricket career as a batter. Jansen's first coach was his father, Koos, who trained both him and his twin brother Duan in their home town of Potchefstroom. At the age of 17, the pair were picked to bowl to the touring Indian side in the nets and impressed the likes of Virat Kohli with his pace and accuracy. ","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/337100/337189.png"
Mario Ovalle,Chile,,,,,
Phiriyapong Suanchuai ,Thailand,Right hand Bat,Wicketkeeper Batter,,,
Umair Qasim,Eswatini,Right hand Bat,Bowling Allrounder,Right arm Offbreak,,
Derrick Brangman,Bermuda,Left hand Bat,,Slow Left arm Orthodox,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321100/321111.png"
James Neesham,New Zealand,Left hand Bat,Batting Allrounder,Right arm Medium fast,"Allrounder, and Twitter star, Jimmy Neesham went from the brink of retirement from cricket to almost delivering New Zealand the 2019 World Cup. In the tournament he was outstanding with bat and ball then in the final against England claimed three wickets and produced the final-ball run out to tie the scores after 50 overs. He was entrusted with the bat in the Super Over and scored 13 off 5 balls including a huge six off Jofra Archer. He was at the non-striker's end for the last ball when Martin Guptill was run out coming back for a second run that would have won New Zealand the World Cup. ","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319700/319781.png"
Dominic Sabir,Bermuda,Right hand Bat,,,,
Umair Tariq,Austria,Right hand Bat,,Right arm Medium,,
Isaac Okpe,Nigeria,Right hand Bat,,Right arm Medium,,
Dhruv Parashar,United Arab Emirates,Right hand Bat,Allrounder,,,
Lucas Rossi,Argentina,Right hand Bat,,Legbreak,,
Tristan Stubbs ,South Africa,Right hand Bat,Batter,Right arm Offbreak,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/348500/348577.png"
Faheem Nellancheri,Finland,Right hand Bat,,Right arm Medium,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/373900/373901.png"
Mahesh Tambe,Finland,Right hand Bat,,Right arm Medium,,
Reece Topley,England,Right hand Bat,Bowler,Left arm Fast medium,"A left-arm seamer with a fearsome yorker but a chequered injury history, Reece Topley's career was in peril before his 25th birthday as he suffered a series of stress fractures that left him wondering whether he would ever be able to play again.","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322900/322910.png"
Sinclair Smith ,Bermuda,Right hand Bat,Middle order Batter,,,
Janak Prakash,Singapore,Right hand Bat,Allrounder,Right arm Medium,,
Faheem Ashraf,Pakistan,Left hand Bat,Bowling Allrounder,Right arm Medium,"Faheem Ashraf began his career with aspirations of fast bowling, but it is as a lower-order left-handed batsman - the good old-fashioned pinch hitter - that he has introduced himself in international cricket. He blazed away to an unbeaten 64 off 30 balls against a Bangladesh side playing its best cricket in 2016-17 to upstage them in a warm-up match just before the 2017 Champions Trophy. That innings wasn't a one-off for Ashraf, who has built a reputation for explosive hitting while batting with the tail; it especially impressed his mentor Tauseef Ahmed, who fast-tracked him to the international side.","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322100/322198.png"
Adnan Razzaq,Belgium,Right hand Bat,,Right arm Medium,,
Jack Gardner,Papua New Guinea,,,,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/331100/331172.png"
Rasheed Rassam,Maldives,Right hand Bat,,Left arm Wrist spin,,
Ben Fitchet,Guernsey,Right hand Bat,,Legbreak,,
Odean Smith,West Indies,Right hand Bat,Bowling Allrounder,Right arm Fast medium,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/351800/351853.png"
Sarawut Maliwan,Thailand,Right hand Bat,,Slow Left arm Orthodox,,
Naseem Khushi ,Oman,Right hand Bat,Wicketkeeper,,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321700/321778.png"
Mohammad Wasim,Pakistan,Right hand Bat,Bowling Allrounder,Right arm Fast medium,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322100/322154.png"
Phillip Zuze ,Malawi,Right hand Bat,,,,
Wanindu Hasaranga,Sri Lanka,Right hand Bat,Allrounder,Legbreak,"A bruising lower-middle order batsman, and an aggressive legbreak bowler, Wanidu Hasaranga graduated from a strong Richmond College outfit, had a fine run in Sri Lanka's 2015 and 2016 Under-19 teams, and has made a promising start to his domestic cricket career.","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322900/322946.png"
Zahir Khan,Afghanistan,Left hand Bat,Bowler,Left arm Wrist spin,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321300/321325.png"
Saif Ahmad,Denmark,Left hand Bat,,Right arm Offbreak,,
Hisham Shaikh,Saudi Arabia,Right hand Bat,,Right arm Offbreak,,
Patrick Heron,Cayman Islands,Left hand Bat,,,,
Nalin Nipiko,Vanuatu,Right hand Bat,,Right arm Medium,,
Benjamin Constanzo,Chile,,,,,
Fayyaz Butt,Oman,Right hand Bat,Bowler,Right arm Medium fast,"A part of Pakistan's pace arsenal in the Under-19 World Cup in New Zealand, Fayyaz Butt compares his style of play to Brett Lee and, like many aspiring professional cricketers in Pakistan, wants to emulate Imran Khan.
Cricinfo Staff, January 2010. ","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321700/321765.png"
Zeko Burgess,Bermuda,Right hand Bat,,Right arm Medium,,
Ismail Ali,Maldives,Right hand Bat,,Right arm Offbreak,,
Ignacio Lisboa,Chile,Right hand Bat,,Right arm Medium fast,,
Santiago Duggan,Argentina,,,,,
Villame Manakitoga,Fiji,Right hand Bat,,Right arm Medium,,
Jofra Archer,England,Right hand Bat,Bowler,Right arm Fast,"Jofra Archer has rapidly become one of the most exciting young fast bowlers in English cricket. Born in Barbados to an English father and Bajan mother, the possibility of his inclusion in England's 2019 World Cup squad became subject of much speculation in the run-up to the tournament. Changes to the ECB's qualification rules led to him becoming eligible after three years of residency - rather than the expected seven - and he was quickly given his chance at international level.","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322900/322929.png"
Clinto Anto,Kuwait,Right hand Bat,,,,
Adnan Idrees,Kuwait,Right hand Bat,Batting Allrounder,Legbreak,,
Kane Richardson,Australia,Right hand Bat,Bowler,Right arm Fast medium,"A pace bowler who has often been on the fringes of Australia's ODI and T20 teams, Kane Richardson is know for his skills at the death and has an excellent yorker. Although he has struggled to gain much traction at first-class level for South Australia, Richardson is very effective in the shorter forms and in 2019 was a late addition to the World Cup squad.","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321500/321594.png"
Sharafuddin Ashraf,Afghanistan,Right hand Bat,Allrounder,Slow Left arm Orthodox,"Sharafuddin Ashraf is a left-arm spinner with a knack for taking vital top-order wickets. He was part of the Afghanistan under-19 side that beat Australia and Sri Lanka at the 2014 Youth World Cup, and was rewarded with a place in the squad to tour Zimbabwe later that year. ","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/320500/320508.png"
Charles Perchard(c),Jersey,Right hand Bat,,Right arm Medium,,
Luqman Butt(c),Cambodia,Right hand Bat,,Right arm Medium fast,,
Kayron J Stagno ,Gibraltar,Right hand Bat,,Right arm Offbreak,,
Miguel Machado,Portugal,Right hand Bat,,,,
Williamsing Nalisa,Vanuatu,Right hand Bat,,Legbreak Googly,,
Joshua Rasu,Vanuatu,Right hand Bat,,Right arm Medium,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
nan,,,,,,
